Pat.9		Pat.8		Control.1		Control.2	
longitudinal (nm)	cross (nm)	longitudinal (nm)	cross (nm)	longitudinal (nm)	cross (nm)	longitudinal (nm)	cross (nm)
30.53892216	24.22846614	29.11100875	29.29525564	22.38599724	24.04421925	-	23.35329341
27.31460157	26.34730539	23.99815753	24.50483648	22.89267619	26.43942883		23.99815753
24.64302165	28.14371257	25.42607094	28.37402119	23.07692308	25.93274988		25
27.03823123	30.12436665	24.41271304	28.09765085	21.23445417	25.05757715		
29.2031322	24.1363427	28.83463842		24.87333026	24.59695993		
24.45877476	27.63703363	25.24182404		23.35329341	25.65637955		
22.20175035	22.01750345	25.47213266		23.62966375			
26.43942883	24.5508982	27.63703363		23.21510825			
29.2031322	29.84799632			24.5508982			
27.08429295	25.93274988			21.32657761			
27.26853984	25.47213266						
26.80792262	25.05757715						
25.05757715	24.87333026						
24.96545371	20.86596039						
23.76784892	26.48549056						
26.39336711	26.07093505						
24.73514509	26.577614						
26.66973745	26.85398434						
28.14371257	26.30124367						
28.92676186	26.25518194						
26.62367573	26.62367573						
24.09028098	29.52556426						
24.73514509	29.01888531						
26.577614	26.07093505						
22.93873791	26.90004606						
27.77521879	28.14371257						
29.11100875	25.01151543						
27.68309535							
25.70244127							
28.32795947							
27.08429295							
24.59695993							
25.65637955							
24.96545371							
26.39336711							
26.07093505							
30.40073699							
28.74251497							
26.90004606							
21.64900967							
27.68309535							
27.31460157							
30.81529249							
27.03823123							
29.84799632							
26.85398434							
29.84799632							
33.80930447							
30.03224321							
26.02487333							
27.91340396							
26.577614							
28.09765085							
26.85398434							
29.24919392							
29.34131737							
26.02487333							
26.07093505							
24.59695993							
24.04421925							
